Industry;PermId;HierarchicalId;Ticker;Name;MarketCapitalization;TTM Sales$;Employees;Companies URL
Oil & Gas Exploration and Production;4294952994;50102020;EPM.A;Evolution Petroleum Corp;247.982;35.429;5;https://www.reuters.com/finance/stocks/overview?symbol=EPM.A;
Oil & Gas Exploration and Production;4294952994;50102020;AMER.L;Amerisur Resources PLC;243.984;43.988;76;https://www.reuters.com/finance/stocks/overview?symbol=AMER.L;
Oil & Gas Exploration and Production;4294952994;50102020;SALDF.PK;Salamander Energy PLC;224.131;315.536;184;https://www.reuters.com/finance/stocks/overview?symbol=SALDF.PK;
Oil & Gas Exploration and Production;4294952994;50102020;SNMP.A;Sanchez Midstream Partners LP;191.378;84.748;33;https://www.reuters.com/finance/stocks/overview?symbol=SNMP.A;
Oil & Gas Exploration and Production;4294952994;50102020;CASPC.L;Caspian Sunrise PLC;182.964;2.481;90;https://www.reuters.com/finance/stocks/overview?symbol=CASPC.L;
Oil & Gas Exploration and Production;4294952994;50102020;ELA.L;Eland Oil & Gas PLC;180.640;1.520;46;https://www.reuters.com/finance/stocks/overview?symbol=ELA.L;
Oil & Gas Exploration and Production;4294952994;50102020;NOG.A;Northern Oil and Gas Inc;171.733;208.261;19;https://www.reuters.com/finance/stocks/overview?symbol=NOG.A;
Oil & Gas Exploration and Production;4294952994;50102020;EXIL.L;Exillon Energy PLC;155.520;91.894;468;https://www.reuters.com/finance/stocks/overview?symbol=EXIL.L;
Oil & Gas Exploration and Production;4294952994;50102020;MCF.A;Contango Oil & Gas Co;143.365;80.193;67;https://www.reuters.com/finance/stocks/overview?symbol=MCF.A;
Oil & Gas Exploration and Production;4294952994;50102020;YU.L;Yu Group PLC;139.135;31.933;--;https://www.reuters.com/finance/stocks/overview?symbol=YU.L;
Oil & Gas Exploration and Production;4294952994;50102020;0QWD.L;African Petroleum Corporation Ltd;136.061;2.072;27;https://www.reuters.com/finance/stocks/overview?symbol=0QWD.L;
Oil & Gas Exploration and Production;4294952994;50102020;CRK.N;Comstock Resources Inc;135.454;230.581;117;https://www.reuters.com/finance/stocks/overview?symbol=CRK.N;
Oil & Gas Exploration and Production;4294952994;50102020;PPTC.L;President Energy PLC;134.398;7.924;41;https://www.reuters.com/finance/stocks/overview?symbol=PPTC.L;
Oil & Gas Exploration and Production;4294952994;50102020;FRHC.PK;Freedom Holding Corp;131.320;48.506;0;https://www.reuters.com/finance/stocks/overview?symbol=FRHC.PK;
Oil & Gas Exploration and Production;4294952994;50102020;TRNI.BO;Trinity Tradelink Ltd;128.653;1,690.120;--;https://www.reuters.com/finance/stocks/overview?symbol=TRNI.BO;
Oil & Gas Exploration and Production;4294952994;50102020;DGOC.L;Diversified Gas & Oil PLC;126.598;16.006;74;https://www.reuters.com/finance/stocks/overview?symbol=DGOC.L;
Oil & Gas Exploration and Production;4294952994;50102020;PER.N;SandRidge Permian Trust;126.000;29.964;0;https://www.reuters.com/finance/stocks/overview?symbol=PER.N;
Oil & Gas Exploration and Production;4294952994;50102020;PANR.L;Pantheon Resources PLC;123.789;0.000;--;https://www.reuters.com/finance/stocks/overview?symbol=PANR.L;
Oil & Gas Exploration and Production;4294952994;50102020;JONE.N;Jones Energy Inc;123.571;173.553;90;https://www.reuters.com/finance/stocks/overview?symbol=JONE.N;
Oil & Gas Exploration and Production;4294952994;50102020;SLEN.L;San Leon Energy PLC;123.389;0.202;43;https://www.reuters.com/finance/stocks/overview?symbol=SLEN.L;
